4.5220 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
78.4662 	EXP 	window1: recordFrameIntervals = False
79.4426 	EXP 	fixation: autoDraw = True
80.4494 	EXP 	fixation: autoDraw = False
80.4661 	EXP 	grating: autoDraw = True
80.4661 	EXP 	grating: tex = 'sin'
80.7187 	EXP 	window1: recordFrameIntervals = False
80.7201 	DATA 	Keypress: left
80.7329 	EXP 	fixation: autoDraw = False
80.7329 	EXP 	grating: autoDraw = False
80.7332 	EXP 	window1: recordFrameIntervals = False
81.7088 	EXP 	fixation: autoDraw = True
82.7160 	EXP 	fixation: autoDraw = False
82.7328 	EXP 	grating: autoDraw = True
82.7328 	EXP 	grating: tex = 'sin'
83.0331 	EXP 	grating: autoDraw = False
83.2852 	EXP 	window1: recordFrameIntervals = False
83.2871 	DATA 	Keypress: right
83.2994 	EXP 	fixation: autoDraw = False
83.2994 	EXP 	grating: autoDraw = False
83.2997 	EXP 	window1: recordFrameIntervals = False
84.2753 	EXP 	fixation: autoDraw = True
84.6183 	DATA 	Keypress: left
85.2827 	EXP 	fixation: autoDraw = False
85.2995 	EXP 	grating: autoDraw = True
85.2995 	EXP 	grating: tex = 'sin'
85.5994 	EXP 	grating: autoDraw = False
85.7688 	EXP 	window1: recordFrameIntervals = False
85.7702 	DATA 	Keypress: left
85.7829 	EXP 	fixation: autoDraw = False
85.7829 	EXP 	grating: autoDraw = False
85.7830 	EXP 	window1: recordFrameIntervals = False
86.7608 	EXP 	fixation: autoDraw = True
87.7660 	EXP 	fixation: autoDraw = False
87.7831 	EXP 	grating: autoDraw = True
87.7831 	EXP 	grating: tex = 'sin'
88.0841 	EXP 	grating: autoDraw = False
88.2352 	EXP 	window1: recordFrameIntervals = False
88.2366 	DATA 	Keypress: left
88.2494 	EXP 	fixation: autoDraw = False
88.2494 	EXP 	grating: autoDraw = False
88.2496 	EXP 	window1: recordFrameIntervals = False
89.2252 	EXP 	fixation: autoDraw = True
90.2328 	EXP 	fixation: autoDraw = False
90.2496 	EXP 	grating: autoDraw = True
90.2496 	EXP 	grating: tex = 'sin'
90.5494 	EXP 	grating: autoDraw = False
90.5517 	EXP 	window1: recordFrameIntervals = False
90.5528 	DATA 	Keypress: right
90.5660 	EXP 	fixation: autoDraw = False
90.5660 	EXP 	grating: autoDraw = False
90.5662 	EXP 	window1: recordFrameIntervals = False
91.5422 	EXP 	fixation: autoDraw = True
92.5496 	EXP 	fixation: autoDraw = False
92.5664 	EXP 	grating: autoDraw = True
92.5664 	EXP 	grating: tex = 'sin'
92.8524 	EXP 	window1: recordFrameIntervals = False
92.8538 	DATA 	Keypress: left
92.8662 	EXP 	grating: autoDraw = False
92.8662 	EXP 	fixation: autoDraw = False
92.8662 	EXP 	grating: autoDraw = False
92.8664 	EXP 	window1: recordFrameIntervals = False
93.8415 	EXP 	fixation: autoDraw = True
94.8494 	EXP 	fixation: autoDraw = False
94.8665 	EXP 	grating: autoDraw = True
94.8665 	EXP 	grating: tex = 'sin'
95.1664 	EXP 	grating: autoDraw = False
95.3686 	EXP 	window1: recordFrameIntervals = False
95.3702 	DATA 	Keypress: left
95.3828 	EXP 	fixation: autoDraw = False
95.3828 	EXP 	grating: autoDraw = False
95.3831 	EXP 	window1: recordFrameIntervals = False
96.3584 	EXP 	fixation: autoDraw = True
97.3661 	EXP 	fixation: autoDraw = False
97.3830 	EXP 	grating: autoDraw = True
97.3830 	EXP 	grating: tex = 'sin'
97.6828 	EXP 	grating: autoDraw = False
97.8191 	EXP 	window1: recordFrameIntervals = False
97.8205 	DATA 	Keypress: right
97.8328 	EXP 	fixation: autoDraw = False
97.8328 	EXP 	grating: autoDraw = False
97.8331 	EXP 	window1: recordFrameIntervals = False
98.8097 	EXP 	fixation: autoDraw = True
99.8162 	EXP 	fixation: autoDraw = False
99.8334 	EXP 	grating: autoDraw = True
99.8334 	EXP 	grating: tex = 'sin'
100.1328 	EXP 	grating: autoDraw = False
100.2686 	EXP 	window1: recordFrameIntervals = False
100.2702 	DATA 	Keypress: left
100.2840 	EXP 	fixation: autoDraw = False
100.2840 	EXP 	grating: autoDraw = False
100.2842 	EXP 	window1: recordFrameIntervals = False
101.2589 	EXP 	fixation: autoDraw = True
102.2662 	EXP 	fixation: autoDraw = False
102.2831 	EXP 	grating: autoDraw = True
102.2831 	EXP 	grating: tex = 'sin'
102.5829 	EXP 	grating: autoDraw = False
102.8188 	EXP 	window1: recordFrameIntervals = False
102.8200 	DATA 	Keypress: left
102.8329 	EXP 	fixation: autoDraw = False
102.8329 	EXP 	grating: autoDraw = False
102.8331 	EXP 	window1: recordFrameIntervals = False
103.8093 	EXP 	fixation: autoDraw = True
104.8162 	EXP 	fixation: autoDraw = False
104.8333 	EXP 	grating: autoDraw = True
104.8333 	EXP 	grating: tex = 'sin'
105.1327 	EXP 	grating: autoDraw = False
105.2354 	EXP 	window1: recordFrameIntervals = False
105.2365 	DATA 	Keypress: left
105.2495 	EXP 	fixation: autoDraw = False
105.2495 	EXP 	grating: autoDraw = False
105.2497 	EXP 	window1: recordFrameIntervals = False
106.2264 	EXP 	fixation: autoDraw = True
107.2328 	EXP 	fixation: autoDraw = False
107.2498 	EXP 	grating: autoDraw = True
107.2498 	EXP 	grating: tex = 'sin'
107.5495 	EXP 	grating: autoDraw = False
107.6351 	EXP 	window1: recordFrameIntervals = False
107.6368 	DATA 	Keypress: left
107.6495 	EXP 	fixation: autoDraw = False
107.6495 	EXP 	grating: autoDraw = False
107.6497 	EXP 	window1: recordFrameIntervals = False
108.6249 	EXP 	fixation: autoDraw = True
109.6330 	EXP 	fixation: autoDraw = False
109.6330 	EXP 	grating: autoDraw = True
109.6330 	EXP 	grating: tex = 'sin'
109.9327 	EXP 	grating: autoDraw = False
110.0023 	EXP 	window1: recordFrameIntervals = False
110.0035 	DATA 	Keypress: right
110.0162 	EXP 	fixation: autoDraw = False
110.0162 	EXP 	grating: autoDraw = False
110.0165 	EXP 	window1: recordFrameIntervals = False
110.9932 	EXP 	fixation: autoDraw = True
111.9996 	EXP 	fixation: autoDraw = False
112.0167 	EXP 	grating: autoDraw = True
112.0167 	EXP 	grating: tex = 'sin'
112.3162 	EXP 	grating: autoDraw = False
112.4189 	EXP 	window1: recordFrameIntervals = False
112.4203 	DATA 	Keypress: right
112.4329 	EXP 	fixation: autoDraw = False
112.4329 	EXP 	grating: autoDraw = False
112.4332 	EXP 	window1: recordFrameIntervals = False
113.4104 	EXP 	fixation: autoDraw = True
114.4167 	EXP 	fixation: autoDraw = False
114.4336 	EXP 	grating: autoDraw = True
114.4336 	EXP 	grating: tex = 'sin'
114.6518 	EXP 	window1: recordFrameIntervals = False
114.6529 	DATA 	Keypress: right
114.6663 	EXP 	fixation: autoDraw = False
114.6663 	EXP 	grating: autoDraw = False
114.6666 	EXP 	window1: recordFrameIntervals = False
115.6426 	EXP 	fixation: autoDraw = True
116.6496 	EXP 	fixation: autoDraw = False
116.6664 	EXP 	grating: autoDraw = True
116.6664 	EXP 	grating: tex = 'sin'
116.9662 	EXP 	grating: autoDraw = False
116.9684 	EXP 	window1: recordFrameIntervals = False
116.9704 	DATA 	Keypress: right
116.9831 	EXP 	fixation: autoDraw = False
116.9831 	EXP 	grating: autoDraw = False
116.9833 	EXP 	window1: recordFrameIntervals = False
117.9581 	EXP 	fixation: autoDraw = True
118.9664 	EXP 	fixation: autoDraw = False
118.9834 	EXP 	grating: autoDraw = True
118.9834 	EXP 	grating: tex = 'sin'
119.2829 	EXP 	grating: autoDraw = False
119.4016 	EXP 	window1: recordFrameIntervals = False
119.4027 	DATA 	Keypress: right
119.4165 	EXP 	fixation: autoDraw = False
119.4165 	EXP 	grating: autoDraw = False
119.4167 	EXP 	window1: recordFrameIntervals = False
120.3932 	EXP 	fixation: autoDraw = True
121.3995 	EXP 	fixation: autoDraw = False
121.4166 	EXP 	grating: autoDraw = True
121.4166 	EXP 	grating: tex = 'sin'
121.7164 	EXP 	grating: autoDraw = False
121.9185 	EXP 	window1: recordFrameIntervals = False
121.9196 	DATA 	Keypress: right
121.9331 	EXP 	fixation: autoDraw = False
121.9331 	EXP 	grating: autoDraw = False
121.9333 	EXP 	window1: recordFrameIntervals = False
122.9088 	EXP 	fixation: autoDraw = True
123.9163 	EXP 	fixation: autoDraw = False
123.9338 	EXP 	grating: autoDraw = True
123.9338 	EXP 	grating: tex = 'sin'
124.2329 	EXP 	grating: autoDraw = False
124.3852 	EXP 	window1: recordFrameIntervals = False
124.3864 	DATA 	Keypress: right
124.3997 	EXP 	fixation: autoDraw = False
124.3997 	EXP 	grating: autoDraw = False
124.4000 	EXP 	window1: recordFrameIntervals = False
125.3751 	EXP 	fixation: autoDraw = True
126.3829 	EXP 	fixation: autoDraw = False
126.3999 	EXP 	grating: autoDraw = True
126.3999 	EXP 	grating: tex = 'sin'
126.6997 	EXP 	grating: autoDraw = False
126.8688 	EXP 	window1: recordFrameIntervals = False
126.8699 	DATA 	Keypress: right
126.8831 	EXP 	fixation: autoDraw = False
126.8831 	EXP 	grating: autoDraw = False
126.8833 	EXP 	window1: recordFrameIntervals = False
127.8592 	EXP 	fixation: autoDraw = True
128.8664 	EXP 	fixation: autoDraw = False
128.8833 	EXP 	grating: autoDraw = True
128.8833 	EXP 	grating: tex = 'sin'
129.1830 	EXP 	grating: autoDraw = False
129.3866 	EXP 	window1: recordFrameIntervals = False
129.3878 	DATA 	Keypress: right
129.3997 	EXP 	fixation: autoDraw = False
129.3997 	EXP 	grating: autoDraw = False
129.4000 	EXP 	window1: recordFrameIntervals = False
130.3788 	EXP 	fixation: autoDraw = True
131.3830 	EXP 	fixation: autoDraw = False
131.3999 	EXP 	grating: autoDraw = True
131.3999 	EXP 	grating: tex = 'sin'
131.6999 	EXP 	grating: autoDraw = False
132.1020 	EXP 	window1: recordFrameIntervals = False
132.1031 	DATA 	Keypress: left
132.1164 	EXP 	fixation: autoDraw = False
132.1164 	EXP 	grating: autoDraw = False
132.1167 	EXP 	window1: recordFrameIntervals = False
133.0919 	EXP 	fixation: autoDraw = True
134.0996 	EXP 	fixation: autoDraw = False
134.1166 	EXP 	grating: autoDraw = True
134.1166 	EXP 	grating: tex = 'sin'
134.4167 	EXP 	grating: autoDraw = False
134.4524 	EXP 	window1: recordFrameIntervals = False
134.4540 	DATA 	Keypress: right
134.4665 	EXP 	fixation: autoDraw = False
134.4665 	EXP 	grating: autoDraw = False
134.4669 	EXP 	window1: recordFrameIntervals = False
135.4435 	EXP 	fixation: autoDraw = True
136.4499 	EXP 	fixation: autoDraw = False
136.4668 	EXP 	grating: autoDraw = True
136.4668 	EXP 	grating: tex = 'sin'
136.7666 	EXP 	grating: autoDraw = False
136.9522 	EXP 	window1: recordFrameIntervals = False
136.9533 	DATA 	Keypress: right
136.9664 	EXP 	fixation: autoDraw = False
136.9664 	EXP 	grating: autoDraw = False
136.9667 	EXP 	window1: recordFrameIntervals = False
137.9421 	EXP 	fixation: autoDraw = True
138.9498 	EXP 	fixation: autoDraw = False
138.9666 	EXP 	grating: autoDraw = True
138.9666 	EXP 	grating: tex = 'sin'
139.2664 	EXP 	grating: autoDraw = False
152.0355 	EXP 	window1: recordFrameIntervals = False
152.0365 	DATA 	Keypress: right
152.0499 	EXP 	fixation: autoDraw = False
152.0499 	EXP 	grating: autoDraw = False
152.0502 	EXP 	window1: recordFrameIntervals = False
153.0267 	EXP 	fixation: autoDraw = True
154.0332 	EXP 	fixation: autoDraw = False
154.0503 	EXP 	grating: autoDraw = True
154.0503 	EXP 	grating: tex = 'sin'
154.3498 	EXP 	grating: autoDraw = False
154.4690 	EXP 	window1: recordFrameIntervals = False
154.4701 	DATA 	Keypress: right
154.4834 	EXP 	fixation: autoDraw = False
154.4834 	EXP 	grating: autoDraw = False
154.4836 	EXP 	window1: recordFrameIntervals = False
155.4602 	EXP 	fixation: autoDraw = True
156.4666 	EXP 	fixation: autoDraw = False
156.4834 	EXP 	grating: autoDraw = True
156.4834 	EXP 	grating: tex = 'sin'
156.7833 	EXP 	grating: autoDraw = False
156.9359 	EXP 	window1: recordFrameIntervals = False
156.9372 	DATA 	Keypress: left
156.9499 	EXP 	fixation: autoDraw = False
156.9499 	EXP 	grating: autoDraw = False
156.9501 	EXP 	window1: recordFrameIntervals = False
157.9276 	EXP 	fixation: autoDraw = True
158.9331 	EXP 	fixation: autoDraw = False
158.9500 	EXP 	grating: autoDraw = True
158.9500 	EXP 	grating: tex = 'sin'
159.2499 	EXP 	grating: autoDraw = False
159.4186 	EXP 	window1: recordFrameIntervals = False
159.4198 	DATA 	Keypress: left
159.4337 	EXP 	fixation: autoDraw = False
159.4337 	EXP 	grating: autoDraw = False
159.4340 	EXP 	window1: recordFrameIntervals = False
160.4112 	EXP 	fixation: autoDraw = True
161.4169 	EXP 	fixation: autoDraw = False
161.4169 	EXP 	grating: autoDraw = True
161.4169 	EXP 	grating: tex = 'sin'
161.7166 	EXP 	grating: autoDraw = False
161.8690 	EXP 	window1: recordFrameIntervals = False
161.8701 	DATA 	Keypress: left
161.8834 	EXP 	fixation: autoDraw = False
161.8834 	EXP 	grating: autoDraw = False
161.8837 	EXP 	window1: recordFrameIntervals = False
162.8592 	EXP 	fixation: autoDraw = True
163.8667 	EXP 	fixation: autoDraw = False
163.8836 	EXP 	grating: autoDraw = True
163.8836 	EXP 	grating: tex = 'sin'
164.1834 	EXP 	grating: autoDraw = False
164.2699 	EXP 	window1: recordFrameIntervals = False
164.2712 	DATA 	Keypress: left
164.2834 	EXP 	fixation: autoDraw = False
164.2834 	EXP 	grating: autoDraw = False
164.2838 	EXP 	window1: recordFrameIntervals = False
165.2607 	EXP 	fixation: autoDraw = True
166.2666 	EXP 	fixation: autoDraw = False
166.2836 	EXP 	grating: autoDraw = True
166.2836 	EXP 	grating: tex = 'sin'
166.5833 	EXP 	grating: autoDraw = False
166.6524 	EXP 	window1: recordFrameIntervals = False
166.6535 	DATA 	Keypress: right
166.6667 	EXP 	fixation: autoDraw = False
166.6667 	EXP 	grating: autoDraw = False
166.6670 	EXP 	window1: recordFrameIntervals = False
167.6427 	EXP 	fixation: autoDraw = True
168.6501 	EXP 	fixation: autoDraw = False
168.6669 	EXP 	grating: autoDraw = True
168.6669 	EXP 	grating: tex = 'sin'
168.9667 	EXP 	grating: autoDraw = False
169.1019 	EXP 	window1: recordFrameIntervals = False
169.1031 	DATA 	Keypress: right
169.1168 	EXP 	fixation: autoDraw = False
169.1168 	EXP 	grating: autoDraw = False
169.1170 	EXP 	window1: recordFrameIntervals = False
170.0922 	EXP 	fixation: autoDraw = True
171.1001 	EXP 	fixation: autoDraw = False
171.1001 	EXP 	grating: autoDraw = True
171.1001 	EXP 	grating: tex = 'sin'
171.4001 	EXP 	grating: autoDraw = False
171.5525 	EXP 	window1: recordFrameIntervals = False
171.5535 	DATA 	Keypress: right
171.5669 	EXP 	fixation: autoDraw = False
171.5669 	EXP 	grating: autoDraw = False
171.5671 	EXP 	window1: recordFrameIntervals = False
172.5424 	EXP 	fixation: autoDraw = True
173.5501 	EXP 	fixation: autoDraw = False
173.5670 	EXP 	grating: autoDraw = True
173.5670 	EXP 	grating: tex = 'sin'
173.8667 	EXP 	grating: autoDraw = False
173.9857 	EXP 	window1: recordFrameIntervals = False
173.9868 	DATA 	Keypress: right
173.9999 	EXP 	fixation: autoDraw = False
173.9999 	EXP 	grating: autoDraw = False
174.0002 	EXP 	window1: recordFrameIntervals = False
174.9762 	EXP 	fixation: autoDraw = True
175.9834 	EXP 	fixation: autoDraw = False
176.0001 	EXP 	grating: autoDraw = True
176.0001 	EXP 	grating: tex = 'sin'
176.3001 	EXP 	grating: autoDraw = False
176.3532 	EXP 	window1: recordFrameIntervals = False
176.3548 	DATA 	Keypress: left
176.3668 	EXP 	fixation: autoDraw = False
176.3668 	EXP 	grating: autoDraw = False
176.3670 	EXP 	window1: recordFrameIntervals = False
177.3440 	EXP 	fixation: autoDraw = True
178.3504 	EXP 	fixation: autoDraw = False
178.3671 	EXP 	grating: autoDraw = True
178.3671 	EXP 	grating: tex = 'sin'
178.6667 	EXP 	grating: autoDraw = False
178.6860 	EXP 	window1: recordFrameIntervals = False
178.6871 	DATA 	Keypress: right
178.7004 	EXP 	fixation: autoDraw = False
178.7004 	EXP 	grating: autoDraw = False
178.7007 	EXP 	window1: recordFrameIntervals = False
179.6766 	EXP 	fixation: autoDraw = True
180.6834 	EXP 	fixation: autoDraw = False
180.7003 	EXP 	grating: autoDraw = True
180.7003 	EXP 	grating: tex = 'sin'
181.0001 	EXP 	grating: autoDraw = False
181.0025 	EXP 	window1: recordFrameIntervals = False
181.0036 	DATA 	Keypress: left
181.0168 	EXP 	fixation: autoDraw = False
181.0168 	EXP 	grating: autoDraw = False
181.0170 	EXP 	window1: recordFrameIntervals = False
181.9925 	EXP 	fixation: autoDraw = True
182.2857 	DATA 	Keypress: right
183.0002 	EXP 	fixation: autoDraw = False
183.0170 	EXP 	grating: autoDraw = True
183.0170 	EXP 	grating: tex = 'sin'
183.3026 	EXP 	window1: recordFrameIntervals = False
183.3037 	DATA 	Keypress: right
183.3168 	EXP 	grating: autoDraw = False
183.3168 	EXP 	fixation: autoDraw = False
183.3168 	EXP 	grating: autoDraw = False
183.3171 	EXP 	window1: recordFrameIntervals = False
184.2932 	EXP 	fixation: autoDraw = True
185.3003 	EXP 	fixation: autoDraw = False
185.3175 	EXP 	grating: autoDraw = True
185.3175 	EXP 	grating: tex = 'sin'
185.6025 	EXP 	window1: recordFrameIntervals = False
185.6035 	DATA 	Keypress: left
185.6169 	EXP 	grating: autoDraw = False
185.6169 	EXP 	fixation: autoDraw = False
185.6169 	EXP 	grating: autoDraw = False
185.6171 	EXP 	window1: recordFrameIntervals = False
186.5933 	EXP 	fixation: autoDraw = True
187.6004 	EXP 	fixation: autoDraw = False
187.6168 	EXP 	grating: autoDraw = True
187.6168 	EXP 	grating: tex = 'sin'
187.9169 	EXP 	grating: autoDraw = False
187.9885 	EXP 	window1: recordFrameIntervals = False
187.9891 	DATA 	Keypress: right
187.9915 	EXP 	fixation: autoDraw = False
187.9915 	EXP 	grating: autoDraw = False
187.9916 	EXP 	window1: recordFrameIntervals = False
188.9800 	EXP 	fixation: autoDraw = True
189.9835 	EXP 	fixation: autoDraw = False
190.0004 	EXP 	grating: autoDraw = True
190.0004 	EXP 	grating: tex = 'sin'
190.2857 	EXP 	window1: recordFrameIntervals = False
190.2868 	DATA 	Keypress: left
190.3002 	EXP 	grating: autoDraw = False
190.3002 	EXP 	fixation: autoDraw = False
190.3002 	EXP 	grating: autoDraw = False
190.3004 	EXP 	window1: recordFrameIntervals = False
191.2757 	EXP 	fixation: autoDraw = True
192.2838 	EXP 	fixation: autoDraw = False
192.3003 	EXP 	grating: autoDraw = True
192.3003 	EXP 	grating: tex = 'sin'
192.6001 	EXP 	grating: autoDraw = False
192.8527 	EXP 	window1: recordFrameIntervals = False
192.8538 	DATA 	Keypress: right
192.8674 	EXP 	fixation: autoDraw = False
192.8674 	EXP 	grating: autoDraw = False
192.8676 	EXP 	window1: recordFrameIntervals = False
193.8430 	EXP 	fixation: autoDraw = True
194.8502 	EXP 	fixation: autoDraw = False
194.8672 	EXP 	grating: autoDraw = True
194.8672 	EXP 	grating: tex = 'sin'
195.1669 	EXP 	grating: autoDraw = False
204.6530 	EXP 	window1: recordFrameIntervals = False
204.6542 	DATA 	Keypress: right
204.6670 	EXP 	fixation: autoDraw = False
204.6670 	EXP 	grating: autoDraw = False
204.6672 	EXP 	window1: recordFrameIntervals = False
205.6440 	EXP 	fixation: autoDraw = True
206.6506 	EXP 	fixation: autoDraw = False
206.6670 	EXP 	grating: autoDraw = True
206.6670 	EXP 	grating: tex = 'sin'
206.9674 	EXP 	grating: autoDraw = False
207.1370 	EXP 	window1: recordFrameIntervals = False
207.1381 	DATA 	Keypress: left
207.1503 	EXP 	fixation: autoDraw = False
207.1503 	EXP 	grating: autoDraw = False
207.1505 	EXP 	window1: recordFrameIntervals = False
208.1269 	EXP 	fixation: autoDraw = True
209.1336 	EXP 	fixation: autoDraw = False
209.1505 	EXP 	grating: autoDraw = True
209.1505 	EXP 	grating: tex = 'sin'
209.4503 	EXP 	grating: autoDraw = False
209.8364 	EXP 	window1: recordFrameIntervals = False
209.8379 	DATA 	Keypress: left
209.8504 	EXP 	fixation: autoDraw = False
209.8504 	EXP 	grating: autoDraw = False
209.8506 	EXP 	window1: recordFrameIntervals = False
210.8273 	EXP 	fixation: autoDraw = True
211.8338 	EXP 	fixation: autoDraw = False
211.8508 	EXP 	grating: autoDraw = True
211.8508 	EXP 	grating: tex = 'sin'
212.1504 	EXP 	grating: autoDraw = False
212.2026 	EXP 	window1: recordFrameIntervals = False
212.2037 	DATA 	Keypress: right
212.2171 	EXP 	fixation: autoDraw = False
212.2171 	EXP 	grating: autoDraw = False
212.2173 	EXP 	window1: recordFrameIntervals = False
213.1926 	EXP 	fixation: autoDraw = True
214.2005 	EXP 	fixation: autoDraw = False
214.2171 	EXP 	grating: autoDraw = True
214.2171 	EXP 	grating: tex = 'sin'
214.5172 	EXP 	grating: autoDraw = False
214.6694 	EXP 	window1: recordFrameIntervals = False
214.6704 	DATA 	Keypress: right
214.6839 	EXP 	fixation: autoDraw = False
